"title","rating","imageSrc","ratingCount","releaseDate","genres","popularity"
"Inside Man (2006)","7.6","https://m.media-amazon.com/images/M/MV5BYjc4MjA2ZDgtOGY3YS00NDYzLTlmNTEtYWMxMzcwZjgzYWNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","318,427","24 March 2006 (USA)","[""Crime"",""Drama"",""Mystery""]","570
      ( 73)"
"Gone Girl (2014)","8.1","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","782,283","3 October 2014 (USA)","[""Drama"",""Mystery"",""Thriller""]","244
      ( 25)"
